"num";"Наименование Технологические элементы(label)";"Код Технологические элементы(value)";"Комментарии";"Используемое изображение";"Другие варианты изображения";"Готово к проду"
"56";"Rails";"RAILS";"Web-браузер";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/web_rails.png?version=1&modificationDate=1628854032073&api=v2"";""Image"")";;"+"
"57";"Spring";"SPRING";"Web-браузер";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/spring.png?version=1&modificationDate=1628515339219&api=v2"";""Image"")";;"+"
"58";"Интеграционный шлюз";"GATEWAY_INTEGRATION";"Шлюз\Интеграционный шлюз";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/schleuse.png?version=1&modificationDate=1628515462382&api=v2"";""Image"")";;"+"
"59";"Ab Initio";"AB_INITIO";"ETL";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/etl_ab-Initio.png?version=1&modificationDate=1632226203386&api=v2"";""Image"")";;
"60";"Accumulo";"ACCUMULO";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_accumulo.png?version=3&modificationDate=1632226433832&api=v2"";""Image"")";;
"61";"ActiveX";"ACTIVEX";"Клиентская часть\Plug-in (клиентский)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/plug-in_activex.png?version=1&modificationDate=1632226651891&api=v2"";""Image"")";;
"62";"Adabas";"ADABAS";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_adabas.png?version=1&modificationDate=1632226821059&api=v2"";""Image"")";;
"63";"Aerospike";"AEROSPIKE";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_aerospike.jpg?version=1&modificationDate=1632227035431&api=v2"";""Image"")";;
"64";"Algolia";"ALGOLIA";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_algolia.png?version=1&modificationDate=1632227169888&api=v2"";""Image"")";;
"65";"Amazon Aurora";"AMAZON_AURORA";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_amazon-aurora.png?version=1&modificationDate=1632227279186&api=v2"";""Image"")";;
"66";"Amazon DynamoDB";"AMAZON_DYNAMODB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_amaozn-dynamodb.png?version=1&modificationDate=1632227390354&api=v2"";""Image"")";;
"67";"Amazon Redshift";"AMAZON_REDSHIFT";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/amazon.jpg?version=1&modificationDate=1632227937940&api=v2"";""Image"")";;
"68";"Apache Druid";"APACHE_DRUID";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-druid.png?version=1&modificationDate=1632227908371&api=v2"";""Image"")";;
"69";"Apache Jena - TDB";"APACHE_JENA__TDB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-jena.png?version=1&modificationDate=1632228089000&api=v2"";""Image"")";;
"70";"Apache NiFi";"APACHE_NIFI";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-nifi.jpg?version=1&modificationDate=1632228212976&api=v2"";""Image"")";;
"71";"Apache OpenWhisk";"APACHE_OPENWHISK";"Серверная часть\ Serverless функция";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/servless_open-whisk.png?version=1&modificationDate=1632228611515&api=v2"";""Image"")";;
"72";"Apache Phoenix";"APACHE_PHOENIX";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_apache-phoenix.png?version=1&modificationDate=1632228764655&api=v2"";""Image"")";;
"73";"ArangoDB";"ARANGODB";"Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_arango-db.png?version=2&modificationDate=1632228967028&api=v2"";""Image"")";;
"74";"bash";"BASH";"Серверная утилита / Shell script";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/shell-script_bash.jpg?version=1&modificationDate=1632229119263&api=v2"";""Image"")";;
"75";"bat";"BAT";"Серверная утилита / Shell script";"(вопрос)";;
"76";"Bitbucket";"BITBUCKET";"Обслуживание / поддержка / ФПД";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/fpd_bitbucket.png?version=2&modificationDate=1632229746861&api=v2"";""Image"")";;
"77";"Cassandra";"CASSANDRA";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_cassandra.png?version=1&modificationDate=1632233619636&api=v2"";""Image"")";;
"78";"Ceph";"CEPH";"Хранилище \ Объектное хранилище (S3, CEPH, BLOB и др.)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/object-storage_ceph.png?version=1&modificationDate=1632233806264&api=v2"";""Image"")";;
"79";"ClickHouse";"CLICKHOUSE";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_click-house.jpg?version=2&modificationDate=1632233966603&api=v2"";""Image"")";;
"80";"Cloudera DE (Hadoop)";"CLOUDERA_DE_HADOOP";"Хранилище \ Аналитика";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/analitics_cloudera.png?version=1&modificationDate=1632234273958&api=v2"";""Image"")";;
"81";"cmd";"CMD";"Серверная утилита / Shell script";"(вопрос)";;
"82";"CockroachDB";"COCKROACHDB";"Хранилище\ Хранилище\СУБД (схема / данные)";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/db_cockroach-db.png?version=1&modificationDate=1632234495557&api=v2"";""Image"")";;
"83";"ConfigMap Kubernetes";"CONFIGMAP_KUBERNETES";"Настройка \ Конфигурация";"=HYPERLINK(""https://confluence.sberbank.ru/download/thumbnails/5348365926/kubernetes.jpeg?version=1&modificationDate=1632234705587&api=v2"";""Image"")";;
